Ciclo,X_max_Atual,Duration_max,Corrente_A_mean,Corrente_A_std,Corrente_A_max,Corrente_A_min,Corrente_A_median,Volt_A_mean,Volt_A_std,Volt_A_max,Volt_A_min,Fbk_Vel_mean,Fbk_Vel_std,Fbk_Vel_max,Fbk_Vel_min,Ciclo_Relativo,Distancia_Ref
1,189.0,0.299,-1.7529666666666666,0.4946378910823347,-0.59,-2.27,-1.94,12.3872,0.21464843329622843,13.24,12.03,-0.0020666666666666667,0.03974537768472024,-0.0,-0.92,-1576.0,0.0
2,189.0,0.299,-1.6871,0.4793059011857855,-0.6,-2.21,-1.85,12.402616666666667,0.22180618347392073,13.23,12.06,-0.1295,0.7189921182531722,0.0,-4.77,-1575.0,0.0
3,189.0,0.299,-1.7289166666666664,0.49187623454048957,-0.62,-2.26,-1.9,12.403733333333333,0.24059621731967884,13.19,12.02,-0.0767,0.5263650922606706,0.0,-4.66,-1574.0,0.0
4,189.0,0.299,-1.7452666666666667,0.49884266279652845,-0.57,-2.27,-1.935,12.395199999999999,0.2468525612147869,13.24,12.03,-0.03048333333333333,0.28554771150919034,-0.0,-3.61,-1573.0,0.0
5,189.0,0.299,-1.6366166666666666,0.4536084811219892,-0.65,-2.14,-1.79,12.450466666666665,0.24014140705257694,13.15,12.07,-0.2246166666666667,0.926883690301972,-0.0,-4.77,-1572.0,0.0
6,189.0,0.299,-1.6731666666666667,0.469940470306193,-0.62,-2.2,-1.84,12.430233333333334,0.24015565115884271,13.17,12.06,-0.17266666666666666,0.8331825795748896,0.0,-4.77,-1571.0,0.0
7,189.0,0.299,-1.9789166666666664,0.3721915330637759,-1.0,-2.34,-2.15,12.300966666666666,0.14023376222937026,12.76,12.04,0.0,0.0,-0.0,-0.0,-1570.0,0.0
8,189.0,0.299,-1.7773166666666669,0.40617968472425214,-0.78,-2.17,-1.95,12.370116666666666,0.1790155412123464,13.0,12.08,0.0,0.0,0.0,0.0,-1569.0,0.0
9,189.0,0.299,-1.6349166666666668,0.455565464974044,-0.65,-2.15,-1.795,12.4521,0.2534402821725683,13.16,12.07,-0.23310000000000003,0.937545221168679,-0.0,-4.77,-1568.0,0.0
10,189.0,0.299,-1.6905666666666668,0.47827913443889836,-0.42,-2.22,-1.8450000000000002,12.426816666666667,0.23918203625342196,13.19,11.96,-0.15216666666666667,0.7832644152067065,0.0,-4.77,-1567.0,0.0
11,189.0,0.299,-1.6868,0.47769769220910296,-0.59,-2.21,-1.84,12.433616666666667,0.23558846093791838,13.18,12.07,-0.16575,0.8171815875792015,0.0,-4.77,-1566.0,0.0
12,189.0,0.299,-1.7400833333333332,0.5086616959470817,-0.57,-2.28,-1.91,12.411483333333335,0.2643010748227805,13.36,12.05,-0.026916666666666665,0.2612599362947627,0.0,-3.44,-1565.0,0.0
13,190.0,0.299,0.0014833333333333332,0.016373144331936148,0.04,-0.03,-0.0,12.880666666666668,0.008164965809277442,12.91,12.86,0.0,0.0,-0.0,-0.0,-1564.0,-1.0
14,189.0,0.299,-1.8589666666666664,0.3151790421383173,-1.0,-2.15,-2.02,12.337950000000001,0.1271544123272573,12.76,12.07,0.0,0.0,0.0,0.0,-1563.0,0.0
15,189.0,0.299,-1.9283333333333332,0.37101839123320673,-0.98,-2.28,-2.09,12.30765,0.14725187953541172,12.76,12.01,0.0,0.0,-0.0,-0.0,-1562.0,0.0
16,190.0,0.299,-0.08283333333333334,0.353470235759914,0.04,-1.68,-0.0,12.85395,0.11484429831192389,12.91,12.22,-0.20321666666666666,0.8948779230808998,0.01,-4.77,-1561.0,-1.0
17,189.0,0.299,-1.7279333333333333,0.5141974918809403,-0.46,-2.27,-1.9,12.419183333333335,0.2741455075705083,13.32,12.02,-0.0263,0.25723321106496205,-0.0,-3.41,-1560.0,0.0
18,189.0,0.299,-0.24785000000000001,0.659381668287892,0.05,-2.29,0.0,12.806033333333334,0.20208991260537876,12.91,12.02,0.04218333333333334,1.4023128045215514,4.77,-4.77,-1559.0,0.0
19,189.0,0.299,-1.611,0.44085968527810004,-0.65,-2.09,-1.75,12.456483333333335,0.23132080591169016,13.12,12.11,-0.23266666666666666,0.9370471267507354,-0.0,-4.77,-1558.0,0.0
20,189.0,0.299,-1.6913166666666666,0.47731311813469113,-0.64,-2.22,-1.86,12.4216,0.24699957080927348,13.21,12.04,-0.14706666666666665,0.7694455620838768,-0.0,-4.77,-1557.0,0.0
