ID_Trem,Ciclo,Grupo,RUL_Alvo,Distancia_Ref_Atual,Inclinacao_Mecanica,Vibracao_Max,Vibracao_Media,Vibracao_Tendencia,Vibracao_Std,Vibracao_Kurtosis,Vibracao_Energia
1,50,Validação,955.0,8.0,2.0,184.0,182.04,-2.0,0.28284271247461906,50.00000000000087,1656932.0
1,55,Validação,950.0,8.0,0.0,182.0,182.0,0.0,0.0,0.0,1656200.0
1,60,Validação,945.0,8.0,0.0,182.0,182.0,0.0,0.0,0.0,1656200.0
1,65,Validação,940.0,8.0,0.0,182.0,182.0,0.0,0.0,0.0,1656200.0
1,70,Validação,935.0,8.0,0.0,182.0,182.0,0.0,0.0,0.0,1656200.0
1,75,Validação,930.0,8.0,0.0,182.0,182.0,0.0,0.0,0.0,1656200.0
1,80,Validação,925.0,8.0,0.0,182.0,182.0,0.0,0.0,0.0,1656200.0
1,85,Validação,920.0,8.0,0.0,182.0,182.0,0.0,0.0,0.0,1656200.0
1,90,Validação,915.0,8.0,0.0,182.0,182.0,0.0,0.0,0.0,1656200.0
1,95,Validação,910.0,8.0,0.0,182.0,182.0,0.0,0.0,0.0,1656200.0
1,100,Validação,905.0,8.0,0.0,182.0,182.0,0.0,0.0,0.0,1656200.0
1,105,Validação,900.0,8.0,0.0,182.0,182.0,0.0,0.0,0.0,1656200.0
1,110,Validação,895.0,8.0,0.0,182.0,182.0,0.0,0.0,0.0,1656200.0
1,115,Validação,890.0,8.0,0.0,182.0,182.0,0.0,0.0,0.0,1656200.0
1,120,Validação,885.0,8.0,0.0,182.0,182.0,0.0,0.0,0.0,1656200.0
1,125,Validação,880.0,8.0,0.0,182.0,182.0,0.0,0.0,0.0,1656200.0
1,130,Validação,875.0,8.0,0.0,182.0,182.0,0.0,0.0,0.0,1656200.0
1,135,Validação,870.0,24.0,16.0,182.0,181.68,-16.0,2.262741699796952,50.0000000000001,1650632.0
1,140,Validação,865.0,24.0,16.0,182.0,180.08,-16.0,5.252171562549055,3.973746776273395,1622792.0
1,145,Validação,860.0,24.0,16.0,182.0,178.5,-16.0,6.658583535097953,-0.05394442165876567,1595285.0
1,150,Validação,855.0,24.0,16.0,182.0,176.94,-16.0,7.454378250534433,-1.4163763210605425,1568111.0
1,155,Validação,850.0,23.0,15.0,182.0,175.42,-15.0,7.81701440997228,-1.958566354635371,1541603.0
1,160,Validação,845.0,23.0,15.0,182.0,173.92,-15.0,7.850230725843645,-2.0697519250162815,1515428.0
1,165,Validação,840.0,23.0,15.0,182.0,172.36,-15.0,7.633866541101368,-1.8108762223234534,1488254.0
1,170,Validação,835.0,23.0,15.0,182.0,170.86,-15.0,7.030574627428172,-1.0277666334539948,1462079.0
1,175,Validação,830.0,23.0,15.0,182.0,169.34,-15.0,6.008870993143795,0.9498430659588184,1435571.0
1,180,Validação,825.0,24.0,16.0,182.0,167.8,-16.0,4.257046978786093,8.245791840215686,1408730.0
1,185,Validação,820.0,23.0,-1.0,167.0,166.6,1.0,0.4948716593053932,-1.900487588652503,1387790.0
1,190,Validação,815.0,23.0,-1.0,167.0,166.66,1.0,0.4785181206984065,-1.579626047711176,1388789.0
1,195,Validação,810.0,23.0,0.0,167.0,166.68,0.0,0.4712120714991614,-1.4253656914893118,1389122.0
1,200,Validação,805.0,23.0,-1.0,167.0,166.7,1.0,0.4629100498862758,-1.2411347517731455,1389455.0
