Ciclo,X_max_Atual,Duration_max,Corrente_A_mean,Corrente_A_std,Corrente_A_max,Corrente_A_min,Corrente_A_median,Volt_A_mean,Volt_A_std,Volt_A_max,Volt_A_min,Fbk_Vel_mean,Fbk_Vel_std,Fbk_Vel_max,Fbk_Vel_min,Ciclo_Relativo,Distancia_Ref
1588,184.0,0.299,-0.25505,0.473294140119848,0.05,-1.68,-0.01,12.845416666666667,0.15845822184097583,13.34,12.26,-0.3014,0.9992428051476769,0.21,-4.77,-5.0,6.0
1589,184.0,0.299,-0.24328333333333332,0.46726253525219225,0.05,-1.66,-0.01,12.845616666666666,0.18458531709673331,13.38,10.42,-0.28058333333333335,0.9764621294274031,0.21,-4.77,-4.0,6.0
1590,183.0,0.299,-1.6785666666666665,0.4962546994909285,-0.38,-2.2,-1.84,12.414483333333333,0.2799852125636559,13.35,12.06,-0.0257,0.2533057104994267,-0.0,-3.38,-3.0,7.0
1591,184.0,0.299,-0.11565,0.398227178433037,0.04,-1.67,0.0,12.84325,0.1319151501713931,12.91,12.1,-0.26493333333333335,0.9655724791938287,0.0,-4.77,-2.0,6.0
1592,184.0,0.299,-0.11355,0.39919856795973335,0.05,-1.67,0.0,12.847383333333333,0.11899125143788465,12.91,11.82,-0.2616833333333333,0.9638287933862993,-0.0,-4.77,-1.0,6.0
1593,184.0,0.299,-0.2518333333333333,0.47349160082198993,0.05,-1.67,-0.01,12.855666666666668,0.15797409676157428,13.37,12.27,-0.31456666666666666,1.019562811257381,0.21,-4.77,0.0,6.0
1594,182.0,0.299,-1.1514166666666668,0.684595704426894,0.04,-1.68,-1.53,12.599016666666666,0.22100060747215367,12.99,12.24,-0.27699999999999997,0.9755195525097805,0.21,-4.77,1.0,8.0
1595,182.0,0.299,-1.1848333333333334,0.6599220666960676,0.05,-1.69,-1.54,12.581516666666666,0.21959714151864942,12.97,12.28,-0.2769166666666667,0.975255795248525,0.21,-4.77,2.0,8.0
1596,182.0,0.299,-0.7759833333333332,0.8570793475921613,0.94,-1.69,-1.28,12.654766666666667,0.2443319648975047,13.2,12.2,-0.5593,1.3226002024393044,0.21,-4.77,3.0,8.0
1597,182.0,0.299,-0.8436166666666667,0.8348461134309368,0.93,-1.68,-1.28,12.641983333333334,0.23894991418992506,12.98,12.27,-0.52995,1.3140934391351187,0.21,-4.77,4.0,8.0
